;COMMUNE;MEN_REL;WOMEN_REL;ILTUU_1_REL;ILTUU_2_REL;ILTUU_3_REL;ILTUU_4_REL;ILTUU_5_REL;ILTUU_Z_REL;TRANS_1_REL;TRANS_2_REL;TRANS_3_REL;TRANS_4_REL;TRANS_5_REL;TRANS_6_REL;TRANS_Z_REL;VOIT_0_REL;VOIT_1_REL;VOIT_2_REL;VOIT_3_REL;VOIT_X_REL;VOIT_Z_REL;NA5_AZ_REL;NA5_BE_REL;NA5_FZ_REL;NA5_GU_REL;NA5_OQ_REL;NA5_ZZ_REL;POIDS_VILLE;NB_HABITANTS;INDICE_DENSITE
0;1001;201.4939859967672;170.73080808773398;75.92341612844676;296.3013779560544;0;0;0;0;30.398845928313705;0;0;0;327.15629342465945;327.15629342465945;0;0;66.47048484681655;200.68462453620288;105.06968470148178;0;0;20.237938973793863;55.318190110636216;20.05738993359712;151.02821434249609;125.58306072397792;0;372.2247940845012;771;3
1;1002;52.05761316872431;57.26337448559674;10.41152263374486;98.90946502057616;0;0;0;0;0;0;0;0;104.11522633744859;104.11522633744859;0;0;31.23456790123458;57.26337448559674;20.82304526748972;0;0;0;10.41152263374486;15.617283950617292;46.851851851851876;36.44032921810701;0;109.32098765432104;253;4
2;1004;3229.2275824504773;2738.376419271123;0;0;2411.084931910583;41.171981828613;3515.347087982404;0;238.58862137032077;454.27728876712285;143.13853649537134;91.07050717367503;4220.113582677133;4220.113582677133;0;316.2602014999677;2441.2747298660133;2480.814009554786;479.2626137212919;0;249.99244707954097;18.966564802232977;1237.3580627982524;336.6282214815136;2555.7450921433665;1818.9060604962337;0;5967.6040017216;14204;2
3;1005;434.3434343434341;419.8653198653196;149.60718294051614;704.6015712682375;0;0;0;0;53.086419753086396;14.47811447811447;0;4.82603815937149;762.5140291806954;762.5140291806954;0;9.65207631874298;183.38945005611654;535.6902356902355;125.47699214365875;0;0;19.30415263748596;106.17283950617279;120.65095398428726;381.25701459034764;226.82379349045993;0;854.2087542087537;1720;3
4;1006;25.45454545454545;30.54545454545454;0;56.0;0;0;0;0;0;0;0;0;50.90909090909091;50.90909090909091;0;0;15.27272727272727;40.72727272727272;0;0;0;0;10.18181818181818;10.18181818181818;20.36363636363636;15.27272727272727;0;55.999999999999986;112;4
5;1007;651.2473118279569;641.379928315412;177.61290322580638;1115.0143369175626;0;0;0;0;29.602150537634397;14.8010752688172;4.9336917562724;14.8010752688172;1124.8817204301074;1124.8817204301074;0;9.8673835125448;389.7616487455198;646.3136200716845;246.68458781361997;0;0;14.8010752688172;222.01612903225796;113.47491039426517;557.5071684587813;384.82795698924735;0;1292.627240143369;2763;3
6;1008;220.0;195.0;0;0;30.0;60.0;325.0;0;25.0;5.0;5.0;5.0;340.0;340.0;0;15.0;55.0;275.0;70.0;0;0;0;160.0;25.0;155.0;75.0;0;415.0;755;2
7;1009;75.0;75.0;5.0;145.0;0;0;0;0;0;0;5.0;0;145.0;145.0;0;0;50.0;50.0;50.0;0;0;0;15.0;30.0;55.0;50.0;0;150.0;324;3
8;1010;275.0325508066819;224.65070414088052;109.68895466894129;389.99430027862127;0;0;0;0;19.9941537214595;5.05465113680104;0;0;454.47116092712855;454.47116092712855;0;5.05465113680104;135.47094100711251;259.58496546759227;99.57269733605663;0;0;29.990910218968438;84.9778156715148;70.20429494779641;200.05022452637925;114.4600095829036;0;499.68325494756243;1113;3
9;1011;74.45994672311299;54.45788564953106;19.742779866171098;109.17505250647294;0;0;0;0;0;4.9038059415682;0;0;124.01402643107586;124.01402643107586;0;0;39.87572577285002;59.23410340375229;29.808003196041742;0;0;4.9038059415682;24.712012180563462;14.969029271438838;44.972514187140675;39.360470791932876;0;128.91783237264406;373;3
