;COMMUNE;MEN_REL;WOMEN_REL;ILTUU_1_REL;ILTUU_2_REL;ILTUU_3_REL;ILTUU_4_REL;ILTUU_5_REL;ILTUU_Z_REL;TRANS_1_REL;TRANS_2_REL;TRANS_3_REL;TRANS_4_REL;TRANS_5_REL;TRANS_6_REL;TRANS_Z_REL;VOIT_0_REL;VOIT_1_REL;VOIT_2_REL;VOIT_3_REL;VOIT_X_REL;VOIT_Z_REL;NA5_AZ_REL;NA5_BE_REL;NA5_FZ_REL;NA5_GU_REL;NA5_OQ_REL;NA5_ZZ_REL;POIDS_VILLE;NB_HABITANTS;INDICE_DENSITE
0;15096;47.09677419354843;73.26164874551978;26.164874551971348;94.19354838709687;0;0;0;0;0;0;0;0;120.35842293906825;120.35842293906825;0;0;36.63082437275989;36.63082437275989;47.09677419354843;0;0;10.46594982078854;0;15.69892473118281;47.09677419354843;47.09677419354843;0;120.3584229390682;292;4
1;15097;26.35135135135135;26.35135135135135;21.08108108108108;31.62162162162162;0;0;0;0;10.54054054054054;10.54054054054054;0;0;31.62162162162162;31.62162162162162;0;0;42.16216216216216;10.54054054054054;0;0;0;21.08108108108108;5.27027027027027;0;10.54054054054054;15.81081081081081;0;52.7027027027027;117;4
2;15098;25.54945054945055;20.43956043956044;45.98901098901099;0;0;0;0;0;20.43956043956044;15.329670329670332;0;0;10.21978021978022;10.21978021978022;0;0;10.21978021978022;35.769230769230774;0;0;0;40.87912087912088;0;0;0;5.10989010989011;0;45.98901098901099;93;4
3;15100;34.73282442748089;29.770992366412194;24.809160305343497;39.6946564885496;0;0;0;0;24.809160305343497;0;0;0;39.6946564885496;39.6946564885496;0;0;19.8473282442748;34.73282442748089;9.9236641221374;0;0;19.8473282442748;9.9236641221374;4.9618320610687;19.8473282442748;9.9236641221374;0;64.5038167938931;130;4
4;15101;130.0;135.0;110.0;155.0;0;0;0;0;25.0;5.0;0;0;235.0;235.0;0;0;15.0;175.0;70.0;0;5.0;5.0;10.0;25.0;140.0;85.0;0;265.0;514;4
5;15102;5.0;10.0;5.0;10.0;0;0;0;0;0;5.0;0;0;10.0;10.0;0;0;5.0;5.0;5.0;0;0;5.0;0;0;0;10.0;0;15.0;107;4
6;15103;45.192307692307686;50.21367521367521;30.12820512820512;65.27777777777777;0;0;0;0;0;5.02136752136752;5.02136752136752;0;85.36324786324785;85.36324786324785;0;5.02136752136752;25.1068376068376;40.17094017094016;25.1068376068376;0;0;5.02136752136752;15.064102564102562;15.064102564102562;20.08547008547008;40.17094017094016;0;95.4059829059829;235;4
7;15104;80.70898652772419;65.64100018803514;90.90972812388051;55.440258591878845;0;0;0;0;45.4190204189447;10.09305183967146;0;0;90.8379144571432;90.8379144571432;0;0;35.32577685015535;100.82302059637725;10.20118926922676;0;0;45.38295350820073;15.085828519196859;10.09305183967146;55.54801233374618;20.24014051494412;0;146.34998671575931;346;4
8;15105;4.86486486486486;9.72972972972972;4.86486486486486;9.72972972972972;0;0;0;0;4.86486486486486;0;0;0;9.72972972972972;9.72972972972972;0;0;0;0;14.594594594594579;0;0;4.86486486486486;0;0;4.86486486486486;4.86486486486486;0;14.594594594594579;36;4
9;15106;35.67307692307695;30.5769230769231;50.96153846153851;15.28846153846155;0;0;0;0;5.09615384615385;30.5769230769231;0;0;30.5769230769231;30.5769230769231;0;0;20.3846153846154;45.865384615384656;0;0;0;56.05769230769236;0;0;5.09615384615385;5.09615384615385;0;66.25000000000006;159;4
10;15107;10.11764705882352;15.17647058823528;10.11764705882352;15.17647058823528;0;0;0;0;0;0;0;0;25.2941176470588;25.2941176470588;0;0;0;10.11764705882352;15.17647058823528;0;0;5.05882352941176;10.11764705882352;5.05882352941176;0;5.05882352941176;0;25.294117647058798;172;4
11;15108;260.5606171228685;150.17013378997075;150.25563849813122;260.475112414708;0;0;0;0;65.07133798582744;25.085397126262972;0;0;320.5740158007488;320.5740158007488;0;0;100.47954568838595;200.2209651885549;110.03024003589837;0;0;110.20118955779411;30.00672848277126;60.099196827483155;115.31152024296438;95.11211580182633;0;410.73075091283926;989;4
12;15110;33.68852459016396;16.84426229508198;33.68852459016396;16.84426229508198;0;0;0;0;16.84426229508198;0;0;0;33.68852459016396;33.68852459016396;0;0;16.84426229508198;16.84426229508198;16.84426229508198;0;0;22.45901639344264;0;5.61475409836066;16.84426229508198;5.61475409836066;0;50.53278688524594;137;4
13;15111;54.73684210526313;39.80861244019136;29.85645933014352;64.68899521531097;0;0;0;0;14.928229665071761;0;0;0;79.61722488038272;79.61722488038272;0;0;29.85645933014352;64.68899521531097;0;0;0;14.928229665071761;9.95215311004784;14.928229665071761;24.8803827751196;29.85645933014352;0;94.54545454545449;208;3
14;15112;25.0;15.0;35.0;5.0;0;0;0;0;15.0;15.0;0;0;10.0;10.0;0;0;30.0;10.0;0;0;0;30.0;0;0;5.0;5.0;0;40.0;94;4
15;15113;44.51871657754008;49.465240641711205;29.679144385026724;64.30481283422456;0;0;0;0;9.89304812834224;0;0;0;74.19786096256679;74.19786096256679;0;19.78609625668448;19.78609625668448;44.51871657754008;9.89304812834224;0;0;29.679144385026724;9.89304812834224;4.94652406417112;19.78609625668448;29.679144385026724;0;93.9839572192513;185;4
16;15114;130.0;95.0;100.0;125.0;0;0;0;0;35.0;20.0;0;0;160.0;160.0;0;0;90.0;95.0;40.0;0;0;35.0;30.0;10.0;45.0;105.0;0;225.0;520;3
