;Unnamed: 0;COMMUNE;MEN_REL;WOMEN_REL;ILTUU_1_REL;ILTUU_2_REL;ILTUU_3_REL;ILTUU_4_REL;ILTUU_5_REL;ILTUU_Z_REL;TRANS_1_REL;TRANS_2_REL;TRANS_3_REL;TRANS_4_REL;TRANS_5_REL;TRANS_6_REL;TRANS_Z_REL;VOIT_0_REL;VOIT_1_REL;VOIT_2_REL;VOIT_3_REL;VOIT_X_REL;VOIT_Z_REL;NA5_AZ_REL;NA5_BE_REL;NA5_FZ_REL;NA5_GU_REL;NA5_OQ_REL;NA5_ZZ_REL;POIDS_VILLE;NB_HABITANTS;INDICE_DENSITE
0;0;15096;47.09677419354843;73.26164874551978;26.164874551971348;94.19354838709688;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;120.35842293906823;120.35842293906823;0;0.0;36.63082437275989;36.63082437275989;47.09677419354843;0;0.0;10.46594982078854;0.0;15.69892473118281;47.09677419354843;47.09677419354843;0;120.3584229390682;292.0;4.0
1;1;15097;26.35135135135135;26.35135135135135;21.08108108108108;31.62162162162162;0.0;0.0;0.0;0;10.54054054054054;10.54054054054054;0.0;0.0;31.62162162162162;31.62162162162162;0;0.0;42.16216216216216;10.54054054054054;0.0;0;0.0;21.08108108108108;5.27027027027027;0.0;10.54054054054054;15.81081081081081;0;52.7027027027027;117.0;4.0
2;2;15098;25.54945054945055;20.43956043956044;45.98901098901099;0.0;0.0;0.0;0.0;0;20.43956043956044;15.329670329670332;0.0;0.0;10.21978021978022;10.21978021978022;0;0.0;10.21978021978022;35.769230769230774;0.0;0;0.0;40.87912087912088;0.0;0.0;0.0;5.10989010989011;0;45.98901098901099;93.0;4.0
3;3;15100;34.73282442748089;29.770992366412194;24.809160305343497;39.6946564885496;0.0;0.0;0.0;0;24.809160305343497;0.0;0.0;0.0;39.6946564885496;39.6946564885496;0;0.0;19.8473282442748;34.73282442748089;9.9236641221374;0;0.0;19.8473282442748;9.9236641221374;4.9618320610687;19.8473282442748;9.9236641221374;0;64.5038167938931;130.0;4.0
4;4;15101;130.0;135.0;110.0;155.0;0.0;0.0;0.0;0;25.0;5.0;0.0;0.0;235.0;235.0;0;0.0;15.0;175.0;70.0;0;5.0;5.0;10.0;25.0;140.0;85.0;0;265.0;514.0;4.0
5;5;15102;5.0;10.0;5.0;10.0;0.0;0.0;0.0;0;0.0;5.0;0.0;0.0;10.0;10.0;0;0.0;5.0;5.0;5.0;0;0.0;5.0;0.0;0.0;0.0;10.0;0;15.0;107.0;4.0
6;6;15103;45.192307692307686;50.21367521367521;30.12820512820512;65.27777777777777;0.0;0.0;0.0;0;0.0;5.02136752136752;5.02136752136752;0.0;85.36324786324785;85.36324786324785;0;5.02136752136752;25.1068376068376;40.17094017094016;25.1068376068376;0;0.0;5.02136752136752;15.064102564102562;15.064102564102562;20.08547008547008;40.17094017094016;0;95.4059829059829;235.0;4.0
7;7;15104;80.70898652772419;65.64100018803514;90.90972812388053;55.440258591878845;0.0;0.0;0.0;0;45.4190204189447;10.09305183967146;0.0;0.0;90.8379144571432;90.8379144571432;0;0.0;35.32577685015535;100.82302059637723;10.20118926922676;0;0.0;45.38295350820073;15.08582851919686;10.09305183967146;55.54801233374618;20.24014051494412;0;146.34998671575931;346.0;4.0
8;8;15105;4.86486486486486;9.72972972972972;4.86486486486486;9.72972972972972;0.0;0.0;0.0;0;4.86486486486486;0.0;0.0;0.0;9.72972972972972;9.72972972972972;0;0.0;0.0;0.0;14.59459459459458;0;0.0;4.86486486486486;0.0;0.0;4.86486486486486;4.86486486486486;0;14.59459459459458;36.0;4.0
9;9;15106;35.67307692307695;30.5769230769231;50.96153846153851;15.28846153846155;0.0;0.0;0.0;0;5.09615384615385;30.5769230769231;0.0;0.0;30.5769230769231;30.5769230769231;0;0.0;20.3846153846154;45.865384615384656;0.0;0;0.0;56.05769230769236;0.0;0.0;5.09615384615385;5.09615384615385;0;66.25000000000006;159.0;4.0
10;10;15107;10.11764705882352;15.17647058823528;10.11764705882352;15.17647058823528;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;25.2941176470588;25.2941176470588;0;0.0;0.0;10.11764705882352;15.17647058823528;0;0.0;5.05882352941176;10.11764705882352;5.05882352941176;0.0;5.05882352941176;0;25.2941176470588;172.0;4.0
11;11;15108;260.5606171228685;150.17013378997075;150.25563849813122;260.475112414708;0.0;0.0;0.0;0;65.07133798582744;25.08539712626297;0.0;0.0;320.5740158007488;320.5740158007488;0;0.0;100.47954568838595;200.2209651885549;110.03024003589836;0;0.0;110.20118955779412;30.00672848277126;60.09919682748316;115.31152024296438;95.11211580182632;0;410.73075091283926;989.0;4.0
12;12;15110;33.68852459016396;16.84426229508198;33.68852459016396;16.84426229508198;0.0;0.0;0.0;0;16.84426229508198;0.0;0.0;0.0;33.68852459016396;33.68852459016396;0;0.0;16.84426229508198;16.84426229508198;16.84426229508198;0;0.0;22.45901639344264;0.0;5.61475409836066;16.84426229508198;5.61475409836066;0;50.53278688524594;137.0;4.0
13;13;15111;54.73684210526313;39.80861244019136;29.85645933014352;64.68899521531097;0.0;0.0;0.0;0;14.92822966507176;0.0;0.0;0.0;79.61722488038272;79.61722488038272;0;0.0;29.85645933014352;64.68899521531097;0.0;0;0.0;14.92822966507176;9.95215311004784;14.92822966507176;24.8803827751196;29.85645933014352;0;94.54545454545448;208.0;3.0
14;14;15112;25.0;15.0;35.0;5.0;0.0;0.0;0.0;0;15.0;15.0;0.0;0.0;10.0;10.0;0;0.0;30.0;10.0;0.0;0;0.0;30.0;0.0;0.0;5.0;5.0;0;40.0;94.0;4.0
15;15;15113;44.51871657754008;49.465240641711205;29.679144385026724;64.30481283422456;0.0;0.0;0.0;0;9.89304812834224;0.0;0.0;0.0;74.19786096256679;74.19786096256679;0;19.78609625668448;19.78609625668448;44.51871657754008;9.89304812834224;0;0.0;29.679144385026724;9.89304812834224;4.94652406417112;19.78609625668448;29.679144385026724;0;93.9839572192513;185.0;4.0
16;16;15114;130.0;95.0;100.0;125.0;0.0;0.0;0.0;0;35.0;20.0;0.0;0.0;160.0;160.0;0;0.0;90.0;95.0;40.0;0;0.0;35.0;30.0;10.0;45.0;105.0;0;225.0;520.0;3.0
17;17;15116;25.163398692810446;25.163398692810446;20.13071895424836;30.19607843137253;0.0;0.0;0.0;0;10.06535947712418;0.0;0.0;0.0;40.26143790849672;40.26143790849672;0;0.0;15.098039215686269;20.13071895424836;15.098039215686269;0;0.0;15.098039215686269;10.06535947712418;0.0;15.098039215686269;10.06535947712418;0;50.32679738562089;154.0;4.0
18;18;15117;150.0;100.0;140.0;110.0;0.0;0.0;0.0;0;45.0;20.0;0.0;0.0;180.0;180.0;0;0.0;85.0;140.0;25.0;0;0.0;55.0;30.0;35.0;45.0;85.0;0;250.0;597.0;3.0
19;19;15118;164.7823748949605;164.4983623644294;94.96959168145804;234.31114557793185;0.0;0.0;0.0;0;9.94257430794742;15.00248828532306;5.02441308041659;5.06016660031994;294.2510949853829;294.2510949853829;0;5.06016660031994;65.28413740009658;209.0443155221845;49.8921177367889;0;0.0;49.92537703046153;25.0865645051239;20.02715398868395;99.42824083786432;134.8134008972562;0;329.28073725938987;729.0;3.0
20;20;15119;354.82244189410085;294.7450092001536;329.1319269401715;320.4355241540829;0.0;0.0;0.0;0;54.03658502002817;83.51108594004353;14.73725046000768;0.0;487.45769603416994;487.45769603416994;0;9.82483364000512;245.62084100012805;265.27050828013824;117.89800368006144;0;10.95326449392154;39.29933456002048;103.16075322005378;74.81468315395483;196.49667280010243;235.79600736012293;0;649.5674510942545;1771.0;3.0
21;21;15120;634.3216502143185;634.3216502143185;0.0;0.0;893.1248835017608;0.0;375.5184169268767;0;76.11859802571823;187.7592084634383;10.1491464034291;0.0;994.6163475360518;994.6163475360518;0;81.1931712274328;451.6370149525949;614.0233574074604;121.7897568411492;0;0.0;40.5965856137164;157.311769253151;96.41689083257644;492.23360056631134;482.0844541628822;0;1268.643300428637;3550.0;3.0
22;22;15121;10.0;10.0;5.0;15.0;0.0;0.0;0.0;0;5.0;0.0;0.0;0.0;15.0;15.0;0;0.0;0.0;10.0;10.0;0;0.0;5.0;0.0;5.0;5.0;5.0;0;20.0;109.0;4.0
23;23;15122;408.3093697383525;383.105087655738;0.0;0.0;408.3093697383525;15.12256924956861;367.9825184061695;0;105.85798474698028;65.53113341479731;15.12256924956861;5.04085641652287;599.8619135662213;599.8619135662213;0;25.204282082614352;373.0233748226924;282.2879593252807;110.89884116350316;0;0.0;70.57198983132018;110.89884116350316;95.77627191393454;267.1653900757121;247.00196440962063;0;791.4144573940905;2128.0;3.0
24;24;15123;57.919075144508646;28.95953757225432;38.61271676300576;48.2658959537572;0.0;0.0;0.0;0;24.1329479768786;9.65317919075144;0.0;0.0;53.09248554913293;53.09248554913293;0;14.47976878612716;0.0;43.43930635838148;28.95953757225432;0;0.0;38.61271676300576;9.65317919075144;9.65317919075144;19.30635838150288;9.65317919075144;0;86.87861271676296;167.0;4.0
25;25;15124;132.93233082706772;102.25563909774442;97.1428571428572;138.04511278195494;0.0;0.0;0.0;0;15.33834586466166;0.0;0.0;0.0;219.8496240601505;219.8496240601505;0;5.11278195488722;81.80451127819552;122.70676691729328;25.563909774436095;0;0.0;56.24060150375941;25.563909774436095;15.33834586466166;71.57894736842108;66.46616541353386;0;235.1879699248121;544.0;3.0
26;26;15125;30.0;20.0;25.0;25.0;0.0;0.0;0.0;0;0.0;15.0;0.0;0.0;35.0;35.0;0;5.0;10.0;30.0;5.0;0;0.0;20.0;0.0;5.0;15.0;10.0;0;50.0;127.0;4.0
28;28;15127;63.14790048762667;53.2268235704136;14.72400094540628;101.65072311263398;0.0;0.0;0.0;0;0.0;5.05039250506955;0.0;0.0;111.32433155297072;111.32433155297072;0;0.0;25.053381550670288;73.61056828615571;17.71077422121428;0;0.0;0.0;18.79329663148885;14.2873879347282;53.63716753654733;29.65687195527589;0;116.37472405804029;284.0;4.0
29;29;15128;35.0;20.0;10.0;45.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;55.0;55.0;0;10.0;15.0;15.0;15.0;0;0.0;5.0;10.0;10.0;25.0;5.0;0;55.0;116.0;4.0
30;30;15129;38.37349397590359;54.8192771084337;43.85542168674696;49.33734939759033;0.0;0.0;0.0;0;5.48192771084337;10.96385542168674;0.0;0.0;76.74698795180717;76.74698795180717;0;5.48192771084337;43.85542168674696;43.85542168674696;0.0;0;0.0;43.85542168674696;10.96385542168674;5.48192771084337;10.96385542168674;21.92771084337348;0;93.1927710843373;182.0;4.0
31;31;15130;30.0;30.0;40.0;20.0;0.0;0.0;0.0;0;20.0;10.0;0.0;5.0;25.0;25.0;0;0.0;10.0;20.0;30.0;0;0.0;40.0;5.0;0.0;10.0;5.0;0;60.0;137.0;4.0
32;32;15131;70.0;65.0;40.0;95.0;0.0;0.0;0.0;0;15.0;0.0;0.0;0.0;120.0;120.0;0;10.0;80.0;30.0;15.0;0;0.0;25.0;15.0;10.0;55.0;30.0;0;135.0;285.0;4.0
33;33;15132;15.34090909090908;5.11363636363636;20.45454545454544;0.0;0.0;0.0;0.0;0;10.22727272727272;10.22727272727272;0.0;0.0;0.0;0.0;0;0.0;20.45454545454544;0.0;0.0;0;0.0;10.22727272727272;0.0;0.0;10.22727272727272;0.0;0;20.45454545454544;45.0;4.0
34;34;15133;25.1865671641791;25.1865671641791;15.11194029850746;35.26119402985074;0.0;0.0;0.0;0;0.0;0.0;0.0;0.0;50.37313432835819;50.37313432835819;0;0.0;5.03731343283582;30.22388059701492;15.11194029850746;0;0.0;0.0;5.03731343283582;10.07462686567164;20.14925373134328;15.11194029850746;0;50.3731343283582;135.0;4.0
